Producto,Precio,Tienda,Fecha,Medidas
MACETA BLANDA DE 15X15CM MACETA FÁCIL DE PLÁNTULAS 100PCS TERRACOTA,16508.0,Mercado Libre,11-02-2026,15X15CM
5 MACETEROS PEQUEÑOS COLORES,2950.0,Mercado Libre,11-02-2026,
PACK 10 MACETEROS DE PLÁSTICO REDONDO N° 15 CM TERRACOTA REDONDO LISO,8990.0,Mercado Libre,11-02-2026,15CM
MACETERO NORDICO REDONDO L 40 CM 40 X 24 X 30 GRIS OSCURO NÓRDICO,19793.0,Mercado Libre,11-02-2026,40CM
PACK 4 JARDINERA COLGANTE BALCON 40 CM HUERTO COLOR SURTIDO JARDINERA BALCON,9700.0,Mercado Libre,11-02-2026,40CM
MACETA CUADRADA BLANCA 18 LITROS BLANCO,6640.0,Mercado Libre,11-02-2026,
MACETERO AUTORRIEGO 1.75 LTS. OU COLOR GRIS PETROLEO,15990.0,Mercado Libre,11-02-2026,
MACETERO / BALCONERA DE MADERA CON GANCHOS 80CM NEGRO NEGRO,27990.0,Mercado Libre,11-02-2026,80CM
MACETERO JARDINERA CÓNICA DE CEMENTO TERRAZA 60X38X26CM GRIS TRAPEZOIDAL,58900.0,Mercado Libre,11-02-2026,38X26CM
PACK 20 MACETEROS PLÁSTICO REDONDO 17CM COLONIAL VIC V-17,17990.0,Mercado Libre,11-02-2026,17CM
MACETERO / BALCONERA DE MADERA CON GANCHOS 60CM ROBLE MARRÓN,22990.0,Mercado Libre,11-02-2026,60CM
SOPORTE PARA PLANTAS COLGANTES 2 GANCHOS DE PARED DE HIERRO NEGRO LISA,7872.0,Mercado Libre,11-02-2026,
2 SOPORTE MACETERO PLANTA RETIRABLE INTERIOR Y EXTERIO 22CM,9510.0,Mercado Libre,11-02-2026,22CM
MACETERO COLGANTE 24X15 CM GRIS CASA VIVA,6830.0,Mercado Libre,11-02-2026,24X15CM
"135 MACETEROS 9X8 TERRACOTA,MACETAS DE PLÁSTICO PARA VIVERO TERRACOTA",9890.0,Mercado Libre,11-02-2026,
SET 7 BASES PARA MACETEROS DE HERRERÍA PLANTAS PORTA MACETAS,18029.0,Mercado Libre,11-02-2026,
PORTA MACETERO PEDESTAL MACETA PLANTAS BLANCO DORADO MEDIANO,18040.0,Mercado Libre,11-02-2026,
"135 MACETEROS 9X8 TERRACOTA,MACETAS DE PLÁSTICO PARA VIVERO TERRACOTA 1",9890.0,Mercado Libre,11-02-2026,
PAQUETE DE 100 MACETAS FLEXIBLES CON AGUJEROS DE DRENAJE,16505.0,Mercado Libre,11-02-2026,
MACETERO OVALADO 42X16X15 CM BLANCO CASA VIVA BLANCO,13990.0,Mercado Libre,11-02-2026,16X15CM
MACETERO 38CM GRAFIATO CÓNICO KD9951,8500.0,Mercado Libre,11-02-2026,38CM
"DE 3 MACETEROS CON PLATO, 5 MODELOS MARCA HOMEY BLANCO MARIPOSA",9590.0,Mercado Libre,11-02-2026,
MACETERO TRANSPARENTE 14 CM + 1L SUSTRATO MIX ORQUÍDEAS,9990.0,Mercado Libre,11-02-2026,14CM
MACETA MACETERO PLASTICO REDONDO ESTILO RATAN 33X30 CM RATAN MARCA REYPLAST,11990.0,Mercado Libre,11-02-2026,33X30CM
PLATO GRANDE BASE PARA MACETERO REDONDO INTERIOR 35 CM N° 50,5990.0,Mercado Libre,11-02-2026,35CM
1 MACETERO TRANSPARENTE FIRME 15 CM ORQUIDEAS/ESQUEJES TRANSPARENTE FIRME 15 CM DE DIAMETRO,5990.0,Mercado Libre,11-02-2026,15CM
PORTA MACETA METAL COLGANTE DORADO 50X14X10 DORADO LISA,6175.0,Mercado Libre,11-02-2026,
MACETERO 38CM CÓNICO DE PLÁSTICO KD9951W,9900.0,Mercado Libre,11-02-2026,38CM
MACETERO CON PLATO Y SUSTRATO ORQUÍDEAS: HEXÁGONOS FRGROUP DORADO OSCURO DARK BRONZE,28490.0,Mercado Libre,11-02-2026,
MACETEROS DE GREDA TERRARIO. PACK 3 UNID. JARDÍN DEL CARMEN. COLOR TERRACOTA,19980.0,Mercado Libre,11-02-2026,
"CÁNTARO, TINAJA DE GREDA 20X20. JARDÍN DEL CARMEN!! COLOR TERRACOTA",9990.0,Mercado Libre,11-02-2026,
3 MACETEROS MACETA DE CERAMICA BLANCO TEXTURA ACANALADA,13842.0,Mercado Libre,11-02-2026,
PACK 10 MACETEROS TRANSPARENTES PLÁSTICO FLEXIBLE ORQUÍDEA TRANSPARENTE REDONDO LISO,6990.0,Mercado Libre,11-02-2026,
MACETERO DE CERAMICA MODELOS VARIADOS PACK 2 CARITAS,4290.0,Mercado Libre,11-02-2026,
SOPORTE PARA 9 MACETAS ESTANTE JARDINERA HUERTO PLANTAS,28006.0,Mercado Libre,11-02-2026,
MACETERO / BALCONERA DE MADERA CON GANCHOS 40CM ROBLE MARRÓN,17990.0,Mercado Libre,11-02-2026,40CM
MACETERO CON FORMA DE PEZ B PEZ,10990.0,Mercado Libre,11-02-2026,
MACETEROS DE GREDA 15X15. PACK 3 UNID. JARDÍN DEL CARMEN. COLOR TERRACOTA,19980.0,Mercado Libre,11-02-2026,
"MACETERO CON PLATO DE CERAMICA, PACK 3",7490.0,Mercado Libre,11-02-2026,
MACETERO CUADRADO DE PLÁSTICO KD9943,39000.0,Mercado Libre,11-02-2026,
135 UND PACK MACETEROS FLEXIBLES 9X8 TERRACOTA KIT INICIAL TERRACOTA,9890.0,Mercado Libre,11-02-2026,
"PACK 2, MACETERO DE CERAMICA MODELOS VARIADOS COLOR BLANCO GATOS",5025.0,Mercado Libre,11-02-2026,
ESTANTE MACETERO SOPORTE DE PLANTAS DECORATIVO 9 NIVELES NEGRO 9NIVELES,18867.0,Mercado Libre,11-02-2026,
MACETERO DE TELA GEOTEXTIL FRESH ROOTS 15 LITROS,5800.0,Mercado Libre,11-02-2026,
2 NIVELES MACETERO MACETA RETIRABLE CON PEDESTAL NEGRO 73 CM,27096.0,Mercado Libre,11-02-2026,73CM
MACETERO DE MADERA 60CM COLOR ROBLE PATAS DE FIERRO MARRÓN,26990.0,Mercado Libre,11-02-2026,60CM
MACETERO CON FORMA DE BÚHO BLANCO,8990.0,Mercado Libre,11-02-2026,
5PZ BASES PARA MACETEROS DE HERRERÍA PLANTAS PORTA MACETAS LISA,17990.0,Mercado Libre,11-02-2026,
MACETA DE CORAZONES - SAN VALENTÍN BLANCO MACETA CORAZONES,11990.0,Mercado Libre,11-02-2026,
"PORTA MACETA DE MADERA CON RUEDAS, 2 UNIDADES MARRÓN PORTCUAD",13400.0,Mercado Libre,11-02-2026,
"PACK DE 2 MACETEROS PARA SUCULENTAS, DISEÑO DE ANIMALITOS MOD-2 GATO",6990.0,Mercado Libre,11-02-2026,
"5 MACETEROS 14,5CM DIÁMETRO X13,5CM ALTURA INCLUYE PLATO VERDE MUSGO MACETERO TAMAÑO L",6630.0,Mercado Libre,11-02-2026,5CM
"PACK DE 2 MACETEROS PARA SUCULENTAS, DISEÑO DE ANIMALITOS MOD-1 ELEFANTE",6990.0,Mercado Libre,11-02-2026,
JARDINERAS 105 CM CASTAÑO / ROBLE / ALERCE JARDINERA 105,39900.0,Mercado Libre,11-02-2026,105CM
PLATO PARA MACETEROS GRANDES DIAMETRO 43 CM RESISTENTES,18000.0,Mercado Libre,11-02-2026,43CM
MACETERO 20X25CM REDONDO GRIS MOR,7692.0,Mercado Libre,11-02-2026,20X25CM
PORTA MACETERO PEDESTAL MACETA PLANTAS NEGRO DORADO MEDIANO,18040.0,Mercado Libre,11-02-2026,
PACK 3 MACETEROS COLGANTES BALCÓN DOBLE PLÁSTICO JARDINERA TERRACOTA BALCÓN DOBLE,10990.0,Mercado Libre,11-02-2026,
"MACETERO IMPORTADO CÓNICO GRAFIATO 34CM, 1 UNIDAD",9342.0,Mercado Libre,11-02-2026,34CM
MACETERO 64CM PLASTICO REDONDO KD9976N,34000.0,Mercado Libre,11-02-2026,64CM
MACETERO FIBRE CLAY BUDA 24CM GRIS OUTZEN,16390.0,Mercado Libre,11-02-2026,24CM
JARDINERA DECOWAY COLOR - 50 CM,20990.0,Mercado Libre,11-02-2026,50CM
SOPORTE PORTA MACETA MACETERO DE BASE METAL CON RUEDAS NEGRO SOPORTE CON RUEDAS,3666.0,Mercado Libre,11-02-2026,
"PACK 2, MACETERO DE CERAMICA MODELOS VARIADOS GATITO-PERRO",5025.0,Mercado Libre,11-02-2026,
MACETERO EN FORMA DE CORAZÓN ROJO MACETERO CORAZÓN,22990.0,Mercado Libre,11-02-2026,
MACETERO REDONDO GRANDE 35CM BOCA EXTERIOR PLASTICO DURO MARRÓN GRANDE L,7200.0,Mercado Libre,11-02-2026,35CM
ORGANIZADOR PEDESTAL 3 NIVELES PORTA MACETERO METAL NEGRO METAL,16990.0,Mercado Libre,11-02-2026,
SET ORGANIZADOR PEDESTAL PORTA MACETERO DESMONTABLE METAL NEGRO,10991.0,Mercado Libre,11-02-2026,
PACK 5 MACETEROS PLÁSTICO REDONDO 16CM N°15 LISO,6990.0,Mercado Libre,11-02-2026,16CM
PEDESTAL PARA 3 PLANTAS / PORTA MACETEROS METALICO - NORPLAT NEGRO LISA,19980.0,Mercado Libre,11-02-2026,
MACETERO NORDICO REDONDO L 40 CM 40 X 24 X 30 BEIGE NÓRDICO,19793.0,Mercado Libre,11-02-2026,40CM
PACK 10 MACETAS PLÁSTICO DURO 15 CM VIVERO MARRÓN VIVERO,4900.0,Mercado Libre,11-02-2026,15CM
PORTA MACETERO DESMONTABLE PEDESTAL PARA PLANTAS NEGRO LISO,12990.0,Mercado Libre,11-02-2026,
PACK DE 10 MACETA CUADRADA 11 NEGRO,13990.0,Mercado Libre,11-02-2026,
MACETERO 16X19.5 CM NEGRO CASA VIVA,11888.0,Mercado Libre,11-02-2026,5CM
"DE 2 MACETEROS GEOMETRICOS, PLASTICO RESISTENTE. BLANCO-NEGRO",6200.0,Mercado Libre,11-02-2026,
2 NIVELES MACETERO MACETA RETIRABLE CON PEDESTAL 73 CM NEGRO,26445.0,Mercado Libre,11-02-2026,73CM
"MACETEROS DE ANIMALES, PACK DE 4",6090.0,Mercado Libre,11-02-2026,
1 MACETERO TRANSPARENTE 12 CM + 1 LIT SUSTRATO MIX ORQUÍDEAS,7990.0,Mercado Libre,11-02-2026,12CM
MACETA COLGANTE DE ACRÍLICO TRANSPARENTE PARED 26CM,14990.0,Mercado Libre,11-02-2026,26CM
MACETERO CON PLATO DE CERAMICA PACK DE 3 16X17 COLOR B MACETERO CIRCULAR,16140.0,Mercado Libre,11-02-2026,
MACETAS 11L PLASTICAS CUADRADAS - PACK 10 MACETAS NEGRO,20890.0,Mercado Libre,11-02-2026,
SOPORTE DE 3 NIVELES PARA MACETAS PLANTAS DECORATIVO,47990.0,Mercado Libre,11-02-2026,
MACETERO PARA ORQUÍDEAS: TRANSPARENTE HEXÁGONOS FRGROUP GRIS TRANSPARENTE - HEXÁGONOS,19990.0,Mercado Libre,11-02-2026,
PACK DE 3 MACETEROS DE PERRITOS EN CERAMICA COLOR VARIADOS VARIADOS PERRITOS,7495.0,Mercado Libre,11-02-2026,
MACETERO DISEÑO GATO ESTIRÁNDOSE BEIGE GATO ESTIRÁNDOSE,9990.0,Mercado Libre,11-02-2026,
PACK 5 PLATOS BASE PARA MACETERO N° 40 GRANDE REDONDO 31 CM,10990.0,Mercado Libre,11-02-2026,31CM
ESTANTE PARA PLANTAS DE MADERA SOPORTE DECORATIVO MULTIUSO COLOR BLANCO YIBAINI,22790.0,Mercado Libre,11-02-2026,
MACETERO CUADRADO 58CM DE PLÁSTICO KD9942,25983.0,Mercado Libre,11-02-2026,58CM
"MACETERO POLIETILENO 18 X 17,5 CM CON AUTORIEGO BLANCO ACANALADO",7590.0,Mercado Libre,11-02-2026,5CM
MACETA TRANSPARENTE 17X13X17.5 TRANSPARENTE 2,3200.0,Mercado Libre,11-02-2026,
